country_code_iso2,region,locode,port_name,latitude,longitude,facade,fao_areas,is_active
HR,,HRKRJ,Kraj,,,,{},False
CA,,CAZSP,Saint-Paul,,,,{},False
GB,,GBSHF,Shefford,,,,{},False
JP,,JPWNI,Waniura,,,,{},False
JP,,JPUSG,Ushigakubijima,,,,{},False
US,,USDAB,Daytona Beach,,,,{},False
US,,USRDM,Redmond-Bend Apt,,,,{},False
PG,,PGBOR,Boroko,,,,{},False
CA,,CAYGC,Grande Cache,,,,{},False
GB,,GBBPM,Burpham,,,,{},False
US,,USEHT,East Hartford,,,,{},False
GB,,GBHNR,Heanor,,,,{},False
CA,,CAYHR,Chevery,,,,{},False
NL,,NLVRH,Vroomshoop,,,,{},False
JP,,JPNMA,"Nagahama, Kagoshima",,,,{},False
DE,,DEBEK,Bernkastel-Kues,,,,{},False
US,,USFCA,Kalispell,,,,{},False
NP,,NPSKH,Surkhet,,,,{},False
JP,,JPKNT,Kinomoto,,,,{},False
DE,,DEBHE,Bad Hersfeld,,,,{},False
DE,,DEWGL,Waghäusel,,,,{},False
ZM,,ZMQKE,Kabwe,,,,{},False
DE,,DEOFG,Offenburg,,,,{},False
PG,,PGBMZ,Bamu,,,,{},False
US,,USANI,Aniak,,,,{},False
NE,,NEBKN,Birni Nkoni,,,,{},False
US,,USKSR,Sandy River,,,,{},False
IN,,INMGR,Mangrol,,,,{},False
US,,USHLC,Hill City,,,,{},False
GB,,GBDLX,Dalry,,,,{},False
BR,,BRMVS,Mucuri,,,,{},False
JP,,JPNJM,Nakajima,,,,{},False
MZ,,MZLBM,Luabo,,,,{},False
NO,,NOSND,Sund,,,,{},False
GB,,GBLGE,Lightwater,,,,{},False
DE,,DETIT,Tittmoning,,,,{},False
DE,,DESAP,Satrup,,,,{},False
CN,,CNPGM,Pingmeng,,,,{},False
AR,,ARAFA,San Rafael,,,,{},False
RU,,RURYB,Rybinsk,,,,{},False
AU,,AUHAP,Long Island,,,,{},False
US,,USMCK,Mccook,,,,{},False
US,,USKKF,Kagvik Creek,,,,{},False
JP,,JPKER,Kakeroma,,,,{},False
GB,,GBRGT,Reigate,,,,{},False
GB,,GBNGO,Newington,,,,{},False
GB,,GBBAM,Bingham,,,,{},False
VU,,VUSWJ,South West Bay,,,,{},False
JP,,JPOJI,Ojika,,,,{},False
GB,,GBAGN,Abingdon,,,,{},False
GB,,GBYLL,Yelland,,,,{},False
ID,,IDTLI,Tolitoli,,,,{},False
US,,USLSB,Lordsburg,,,,{},False
GB,,GBTDT,Thames Ditton,,,,{},False
PG,,PGLNQ,Loani,,,,{},False
AU,,AUMEB,Essendon Apt/Melbourne,,,,{},False
US,,USRHI,Rhinelander,,,,{},False
LK,,LKADP,Anuradhapura,,,,{},False
AU,,AUHVB,Hervey Bay,,,,{},False
NL,,NLBKE,Berkel,,,,{},False
US,,USBKC,Buckland,,,,{},False
GB,,GBMUL,Mull Apt,,,,{},False
NL,,NLLID,Leiden,,,,{},False
US,,USLKP,Lake Placid,,,,{},False
JP,,JPKNH,Kunehama,,,,{},False
ZA,,ZAULX,Ulusaba,,,,{},False
US,,USGEY,Greybull,,,,{},False
AU,,AULUC,Lucinda,,,,{},False
JP,,JPMUX,"Murotsu, Kochi",,,,{},False
VU,,VURCL,Redcliffe,,,,{},False
CA,,CAYKE,Knee Lake,,,,{},False
US,,USLPO,Laporte,,,,{},False
MN,,MNUUN,Baruun-Urt,,,,{},False
ML,,MLMZI,Mopti,,,,{},False
SB,,SBKWR,Kwai Harbour,,,,{},False
US,,USSVW,Sparrevohn,,,,{},False
US,,USMPZ,Mount Pleasant,,,,{},False
KZ,,KZKOR,Kordai,,,,{},False
IE,,IEMAY,Maynooth,,,,{},False
US,,USBJI,Bemidji,,,,{},False
AU,,AUTIS,Thursday Island,,,,{},False
CN,,CNWUS,Wuyishan Apt,,,,{},False
IE,,IETAR,Tarbert,,,,{},False
NO,,NOBRG,Borg,,,,{},False
GB,,GBKGC,King'S Cliffe,,,,{},False
JP,,JPTKJ,Tokujin,,,,{},False
US,,USEWK,Newton,,,,{},False
IS,,ISKEV,Keflavikurkaupstadur,,,,{},False
CD,,CDGOM,Goma,,,,{},False
US,,USBSZ,Bartletts,,,,{},False
AU,,AUKUG,Kubin Island,,,,{},False
CN,,CNNZG,Nianzigou,,,,{},False
US,,USRWB,Rowan Bay,,,,{},False
JP,,JPTMN,Tamanoura,,,,{},False
JP,,JPUSN,Usuno,,,,{},False
GB,,GBWAT,Watchet,,,,{},False
GB,,GBTUX,Tuxford,,,,{},False
DE,,DEWHH,Weiherhammer,,,,{},False
HR,,HRGRD,Gradac,,,,{},False
DE,,DEKEV,Kevelaer,,,,{},False
GB,,GBKRE,Kentmere,,,,{},False
US,,USBNA,Nashville,,,,{},False
GB,,GBBTR,Burton Upon Trent,,,,{},False
US,,USHCW,Cheraw,,,,{},False
US,,USOTH,North Bend,,,,{},False
NL,,NLGRN,Groenlo,,,,{},False
DE,,DEKAE,Karlsruhe,,,,{},False
